timestamp,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15
07/08/2022 01:40,35.2,39.0,53.800000000000004,49.6,15.0,51.6,16.8,18.0,17.0,6.800000000000001,12.8,7.0,8.8,8.0,8.6
07/08/2022 01:41,62.0,52.0,48.2,28.8,23.6,68.4,15.200000000000001,15.200000000000001,18.8,6.800000000000001,7.4,5.0,9.200000000000001,9.8,8.0
07/08/2022 01:42,35.0,34.2,41.2,41.400000000000006,42.6,45.6,17.2,13.8,15.8,8.200000000000001,12.600000000000001,7.0,48.0,41.0,44.0
07/08/2022 01:43,30.200000000000003,37.0,45.0,68.0,39.0,40.400000000000006,17.400000000000002,15.0,16.6,6.2,8.4,8.6,41.0,43.0,43.0
07/08/2022 01:44,43.6,49.6,45.6,68.4,14.8,31.400000000000002,17.400000000000002,17.400000000000002,15.8,7.0,7.2,8.200000000000001,40.0,42.0,30.0
07/08/2022 01:45,55.400000000000006,38.2,62.0,44.0,31.400000000000002,57.6,17.400000000000002,14.4,17.0,8.4,6.6000000000000005,7.2,71.0,49.0,44.0
07/08/2022 01:46,43.6,55.800000000000004,48.6,50.800000000000004,47.6,54.800000000000004,13.8,13.8,16.2,7.0,12.8,7.4,40.0,49.0,43.0
07/08/2022 01:47,47.400000000000006,33.6,46.800000000000004,154.0,268.0,179.0,18.2,18.400000000000002,17.2,12.600000000000001,9.0,8.200000000000001,45.0,41.0,40.0
07/08/2022 01:48,43.2,41.400000000000006,54.0,215.0,342.0,128.0,14.0,16.2,14.0,7.4,8.0,8.8,32.0,72.0,46.0
07/08/2022 01:49,35.4,36.4,38.800000000000004,213.0,167.0,116.0,14.200000000000001,9.0,17.6,8.6,7.2,7.4,49.0,41.0,48.0
07/08/2022 01:50,197.0,215.0,91.0,218.0,150.0,256.0,16.400000000000002,22.400000000000002,22.0,12.600000000000001,6.800000000000001,6.800000000000001,49.0,40.0,43.0
07/08/2022 01:51,309.0,277.0,207.0,102.0,282.0,118.0,17.0,18.2,17.8,8.200000000000001,7.2,8.200000000000001,43.0,43.0,43.0
07/08/2022 01:52,248.0,186.0,169.0,76.0,196.0,293.0,18.8,14.600000000000001,16.400000000000002,7.0,7.6000000000000005,9.0,46.0,43.0,42.0
07/08/2022 01:53,230.0,197.0,242.0,74.0,161.0,190.0,15.0,14.0,13.8,7.2,9.0,6.4,47.0,48.0,42.0
07/08/2022 01:54,229.0,194.0,155.0,156.0,102.0,192.0,14.600000000000001,15.600000000000001,17.8,8.4,8.200000000000001,5.0,47.0,44.0,31.0
07/08/2022 01:55,183.0,235.0,254.0,176.0,76.0,188.0,111.0,78.0,70.0,7.800000000000001,7.6000000000000005,8.4,47.0,44.0,42.0
07/08/2022 01:56,196.0,183.0,276.0,254.0,220.0,240.0,92.0,95.0,93.0,8.8,7.2,7.800000000000001,45.0,43.0,70.0
07/08/2022 01:57,150.0,247.0,151.0,208.0,157.0,102.0,112.0,84.0,74.0,7.4,8.8,8.200000000000001,42.0,49.0,49.0
07/08/2022 01:58,241.0,229.0,272.0,230.0,141.0,118.0,84.0,88.0,87.0,7.4,7.6000000000000005,6.800000000000001,49.0,44.0,47.0
07/08/2022 01:59,218.0,264.0,156.0,236.0,202.0,230.0,93.0,79.0,112.0,9.0,4.800000000000001,9.0,47.0,48.0,30.0
07/08/2022 02:00,177.0,311.0,251.0,267.0,251.0,101.0,94.0,85.0,111.0,9.0,5.0,8.200000000000001,71.0,44.0,46.0
07/08/2022 02:01,180.0,214.0,233.0,293.0,244.0,340.0,95.0,74.0,85.0,9.0,6.2,12.4,46.0,30.0,46.0
07/08/2022 02:02,279.0,171.0,242.0,297.0,161.0,169.0,89.0,84.0,81.0,4.6000000000000005,7.800000000000001,12.600000000000001,48.0,43.0,40.0
07/08/2022 02:03,263.0,171.0,229.0,128.0,220.0,300.0,89.0,112.0,70.0,6.2,6.800000000000001,7.800000000000001,43.0,49.0,40.0
07/08/2022 02:04,241.0,254.0,309.0,185.0,254.0,342.0,77.0,80.0,112.0,6.800000000000001,6.4,5.0,46.0,72.0,49.0
07/08/2022 02:05,172.0,236.0,234.0,189.0,283.0,189.0,80.0,86.0,73.0,8.8,8.6,8.0,49.0,72.0,42.0
07/08/2022 02:06,182.0,167.0,270.0,198.0,127.0,227.0,76.0,93.0,110.0,6.0,8.6,8.4,72.0,30.0,44.0
07/08/2022 02:07,186.0,188.0,211.0,342.0,340.0,153.0,95.0,75.0,73.0,5.0,8.0,8.8,70.0,30.0,70.0
07/08/2022 02:08,192.0,269.0,157.0,146.0,135.0,230.0,75.0,94.0,92.0,8.8,7.800000000000001,7.800000000000001,42.0,40.0,46.0
07/08/2022 02:09,175.0,160.0,151.0,258.0,117.0,210.0,75.0,45.0,82.0,4.6000000000000005,8.4,4.800000000000001,42.0,71.0,45.0
07/08/2022 02:10,90.0,160.0,309.0,342.0,342.0,212.0,71.0,76.0,84.0,36.0,37.0,35.0,43.0,45.0,44.0
07/08/2022 02:11,89.0,91.0,190.0,274.0,216.0,122.0,69.0,84.0,85.0,37.0,30.0,32.0,41.0,43.0,30.0
07/08/2022 02:12,200.0,263.0,246.0,171.0,225.0,227.0,76.0,94.0,93.0,38.0,44.0,38.0,47.0,45.0,45.0
07/08/2022 02:13,311.0,309.0,266.0,74.0,159.0,124.0,82.0,73.0,94.0,40.0,32.0,38.0,45.0,43.0,40.0
07/08/2022 02:14,278.0,206.0,201.0,341.0,133.0,341.0,94.0,79.0,78.0,32.0,43.0,32.0,44.0,45.0,40.0
07/08/2022 02:15,191.0,244.0,196.0,225.0,237.0,263.0,92.0,84.0,74.0,38.0,33.0,38.0,48.0,49.0,45.0
07/08/2022 02:16,197.0,279.0,262.0,269.0,280.0,238.0,45.0,73.0,87.0,37.0,38.0,38.0,41.0,48.0,41.0
07/08/2022 02:17,208.0,157.0,199.0,102.0,159.0,257.0,77.0,83.0,88.0,43.0,33.0,35.0,43.0,49.0,49.0
